admixture,region
peruvian,Peru
indian,India
british,Scotland
british,UK
ceph,Austria
ceph,Denmark
ceph,Finland
ceph,France
ceph,Germany
ceph,Ireland
ceph,Netherlands
ceph,Norway
ceph,Sweden
ceph,Switzerland
southern_han_chinese,China
han_chinese,China
dai_chinese,China
gujarati,India
japanese,Japan
kinh_vietnamese,Vietnam
african_caribbean,Barbados
puerto_rican,Puerto Rico
punjabi,Pakistan
finnish,Finland
tuscan,Greece
tuscan,Malta
tuscan,Bulgaria
tuscan,Macedonia
tuscan,Albania
tuscan,Montenegro
tuscan,Bosnia and Herzegovina
tuscan,Croatia
tuscan,Serbia
tuscan,Kosovo
tuscan,Romania
tuscan,Italy
spanish,Spain
mexican_american,Mexico
colombian,Colombia
esan,Niger
esan,Nigeria
yoruba,Nigeria
african_american_sw,Angola
african_american_sw,Burundi
african_american_sw,Democratic Republic of the Congo
african_american_sw,Cameroon
african_american_sw,Central African Republic
african_american_sw,Chad
african_american_sw,Equatorial Guinea
african_american_sw,Gabon
luhya,Kenya
sri_lankan,Sri Lanka
african_american_sw,Nigeria
african_american_sw,Rwanda
african_american_sw,Sao Tome and Principe
african_american_sw,Tanzania
african_american_sw,Uganda
african_american_sw,Sudan
african_american_sw,South Sudan
african_american_sw,Djibouti
african_american_sw,Eritrea
african_american_sw,Ethiopia
african_american_sw,Somalia
african_american_sw,Botswana
african_american_sw,Comoros
african_american_sw,Lesotho
african_american_sw,Madagascar
african_american_sw,Malawi
african_american_sw,Mauritius
african_american_sw,Mozambique
african_american_sw,Namibia
african_american_sw,Seychelles
african_american_sw,South Africa
african_american_sw,Swaziland
african_american_sw,Zambia
african_american_sw,Zimbabwe
african_american_sw,Benin
african_american_sw,Mali
african_american_sw,Burkina Faso
african_american_sw,Cape Verde
african_american_sw,Ivory Coast
gambian,Gambia
bengali,Bangladesh
african_american_sw,Ghana
african_american_sw,Guinea
african_american_sw,Liberia
african_american_sw,Mauritania
african_american_sw,Niger
african_american_sw,Senegal
mende,Sierra Leone
african_american_sw,Togo
